,Titles,Prices,Evaluations,Numbers of evaluators,Urls
81,"Le Minceur: Plus de 100 pages - Moins de Kilo - Livre de Recettes à Remplir - 8,5 × 11 pouces - Un Grand Format pour Maigrir","5,99€","4,5",292,https://www.amazon.fr//Minceur-Recettes-Remplir-pouces-Maigrir/dp/B08924C48N/ref=sr_1_121?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-121
82,Jeûne Intermittent - Carnet à compléter: 120 jours de suivi Fasting et perte de poids | Liste de courses et compteur de calories inclus | 140 pages format poche,"12,90€","3,8",395,https://www.amazon.fr//Je%C3%BBne-Intermittent-compl%C3%A9ter-compteur-calories/dp/B08XL9QFBB/ref=sr_1_122?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-122
83,Companion recettes légères,"8,99€","4,1",198,https://www.amazon.fr//Companion-recettes-l%C3%A9g%C3%A8res-Coralie-Ferreira/dp/2035961122/ref=sr_1_123?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-123
84,Le cahier anti-kilos d'une ex-grosse,"6,89€","4,3",13,https://www.amazon.fr//cahier-anti-kilos-dune-ex-grosse/dp/2035905648/ref=sr_1_124?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-124
85,Le Meilleur de la Cuisine Coréenne: Délicieux plats traditionnels d'Asie selon des recettes originales et modernes. La cuisine asiatique rapide et légère - Le meilleur de la cuisine asiatique,"7,99€","4,1",309,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A017772927WH16TJJNQ98&url=%2FMeilleur-Cuisine-Cor%25C3%25A9enne-traditionnels-originales-ebook%2Fdp%2FB08LNRZ1M4%2Fref%3Dsr_1_125_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-125-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_mtf
86,"Mon planificateur de menus: Organise, suis et planifie tes menus de la semaine : Un journal, carnet de bord, agenda et suivi alimentaire sur 52 ... de courses : Couverture à rayures 2346","9,95€","4,5",521,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A00903942HDWLQWKEV2W3&url=%2FMon-planificateur-menus-alimentaire-Couverture%2Fdp%2F1700812343%2Fref%3Dsr_1_126_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-126-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_mtf
87,Régime Cétogène: Guide pratique pour perdre du poids et rester en forme grâce au Régime Keto,"9,39€","3,9",101,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A00001561RDH5NUG5PFP1&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-pratique-perdre-rester%2Fdp%2FB08DC9ZXWH%2Fref%3Dsr_1_127_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-127-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_mtf
88,agenda minceur 90 jours: Régime Alimentaire Journal à Compléter | cahier minceur de suivi | carnet alimentaire | livre minceur |suivi poids | motivation minceur |bullet minceur,"7,49€","4,3",22,https://www.amazon.fr//agenda-minceur-jours-Alimentaire-alimentaire/dp/B08VRDYBXR/ref=sr_1_128?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-128
89,"Mon Agenda Minceur: Carnet pré-rempli pour 60 jours de suivi de votre régime, avec un bilan complet à faire chaque semaine pour évaluer votre progression","6,98€","3,6",11,https://www.amazon.fr//Mon-Agenda-Minceur-pr%C3%A9-rempli-progression/dp/B08X69SJHT/ref=sr_1_129?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-129
90,"Perte de poids rapide et efficace : Comment avoir le ventre plat sans faire de régime (maigrir, mincir, ventre plat, régime, perte de poids rapide et efficace)","4,99€","5,0",2,https://www.amazon.fr//R%C3%A9gime-Comment-perdre-efficacement-maigrir-ebook/dp/B07MCDXS8D/ref=sr_1_130?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-130
91,Recettes équilibrées sans se ruiner avec Cookeo,"7,99€","4,4",1 733,https://www.amazon.fr//Recettes-%C3%A9quilibr%C3%A9es-sans-ruiner-Cookeo/dp/2035986257/ref=sr_1_131?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-131
92,Recettes Minceur avec Thermomix,"15,00€","4,3",5,https://www.amazon.fr//Recettes-Minceur-Thermomix-Catherine-Desnoy/dp/B08YQVB1N9/ref=sr_1_132?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-132
93,Ne laisse pas la bouffe contrôler ton corps: Agenda minceur 90 jours - Journal régime alimentaire et d’activité sportive à compléter,"14,95€","4,6",127,https://www.amazon.fr//laisse-pas-bouffe-contr%C3%B4ler-corps/dp/B091NH77J5/ref=sr_1_133?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-133
94,"Recettes cétogène: 77 recettes délicieuses – Petit-déjeuner, déjeuner, dîner, smoothies, desserts","9,40€","4,2",14,https://www.amazon.fr//Recettes-c%C3%A9tog%C3%A8ne-d%C3%A9licieuses-Petit-d%C3%A9jeuner-smoothies/dp/1975651472/ref=sr_1_134?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-134
95,100 Recettes à dévorer - Cuisine minceur pour les gourmands,"9,97€","4,0",27,https://www.amazon.fr//100-Recettes-d%C3%A9vorer-Cuisine-gourmands/dp/2263067752/ref=sr_1_135?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-135
96,"Agenda minceur 90 jours - mon suivi alimentaire détaillé: v1-6 Cahier régime | 90 jours pour maigrir | carnet regime à compléter sur 90 jours | 21cm x 29,7cm broché | planificateur Fond bleu turquoise","7,90€","3,9",8,https://www.amazon.fr//Agenda-minceur-jours-alimentaire-planificateur/dp/B08C9CYZQ6/ref=sr_1_136?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-136
97,"HUGOO - DETOX Bleu Thé Vert, Citron Fleur de Sureau, Infusion Bien être, Draineur Rapide et Efficace, Perte de Poids, Minceur ventre plat, Coupe faim, Guarana, Sencha, Goji, Sachet Vrac 100g + Ebook","8,90€","2,5",2,https://www.amazon.fr//HUGOO-Citron-Fleur-Infusion-Draineur-Efficace/dp/B07WNJWNT1/ref=sr_1_137?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-137
98,Simplissime desserts: Le livre de desserts les + faciles du monde,"9,89€","4,3",103,https://www.amazon.fr//Simplissime-desserts-livre-faciles-monde/dp/2011356431/ref=sr_1_138?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-138
99,"MES 100 JUS DETOX RECETTE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I concombre I brule graisse I Maigrir","19,95€","4,1",61,https://www.amazon.fr//MES-100-DETOX-RECETTE-MINCEUR/dp/B08BWGQ84K/ref=sr_1_139?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-139
100,Objectif minceur : Mon programme pour maigrir semaine après semaine,"14,90€","4,6",47,https://www.amazon.fr//Objectif-minceur-programme-maigrir-semaine/dp/2081253976/ref=sr_1_140?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-140
101,Agenda minceur – Mon défi minceur en 90 jours: Programme minceur | retrouvez une belle silhouette grâce à l’équilibre alimentaire | journal à compléter,"19,90€","4,0",85,https://www.amazon.fr//Agenda-minceur-silhouette-l%C3%A9quilibre-alimentaire/dp/B08ZQ55J6K/ref=sr_1_141?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-141
102,Mon cahier Minceur automne hiver new,"4,95€","3,9",21,https://www.amazon.fr//Mon-cahier-Minceur-automne-hiver/dp/2263170480/ref=sr_1_142?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-142
103,Mes petites routines - Minceur pour perdre 5 kg,"4,90€","4,6",520,https://www.amazon.fr//Mes-petites-routines-Minceur-perdre/dp/2501148185/ref=sr_1_143?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-143
104,liste de courses frigo homme femme: courses alimentaires pour le domicile,"19,95€","4,1",72,https://www.amazon.fr//liste-courses-frigo-homme-femme-ebook/dp/B09254FZHR/ref=sr_1_144?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-144
105,Recettes végétariennes au Cookeo: Des recettes saines et équilibrées et végétariens pour toute la famille.,"6,99€","5,0",3,https://www.amazon.fr//Recettes-v%C3%A9g%C3%A9tariennes-Cookeo-%C3%A9quilibr%C3%A9es-v%C3%A9g%C3%A9tariens/dp/B08VRMMWL6/ref=sr_1_145?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-145
106,Simplissime: Le livre de cuisine le + facile du monde,"11,47€","4,1",1 839,https://www.amazon.fr//Simplissime-livre-cuisine-facile-monde/dp/2013963653/ref=sr_1_146?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-146
107,Ma pâtisserie healthy: 60 recettes saines & gourmandes,"10,97€","4,5",2,https://www.amazon.fr//Ma-p%C3%A2tisserie-healthy-recettes-gourmandes/dp/2226459995/ref=sr_1_147?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-147
108,"Plats gourmands, vapeur douce: 120 recettes simples et bluffantes","6,99€","3,9",37,https://www.amazon.fr//Plats-gourmands-vapeur-douce-bluffantes/dp/2226453342/ref=sr_1_148?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-148
109,Petits plats minceur,"6,99€","5,0",3,https://www.amazon.fr//Petits-plats-minceur-Collectif/dp/2035987512/ref=sr_1_149?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-149
110,Zéro blabla - Minceur - 5 kgs,"6,90€","3,2",108,https://www.amazon.fr//Z%C3%A9ro-blabla-Minceur-5-kgs/dp/2501126947/ref=sr_1_150?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-150
111,"Le régime végétarien: une alimentation saine, gourmande et équilibrée","7,90€","4,1",123,https://www.amazon.fr//r%C3%A9gime-v%C3%A9g%C3%A9tarien-alimentation-gourmande-%C3%A9quilibr%C3%A9e/dp/2017089133/ref=sr_1_151?dchild=1&keywords=livre+minceur&qid=1618311657&sr=8-151
112,Mon programme minceur | 90 jours de rééquilibrage alimentaire | Journal à Compléter |Carnet de Suivi de régime: Carnet de Suivi de régime | 90 jours pour retrouver la forme,"8,99€","5,0",5,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A03936491IMBV9O72MPFQ&url=%2Fprogramme-minceur-r%25C3%25A9%25C3%25A9quilibrage-alimentaire-Compl%25C3%25A9ter%2Fdp%2FB08R9NJT29%2Fref%3Dsr_1_152_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-152-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_btf
113,Chakra: Retrouver son équilibre en travaillant sur chakra et énergie intérieure,"18,50€","3,8",506,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A087833139ENTCB5PWL4C&url=%2FChakra-Retrouver-%25C3%25A9quilibre-travaillant-int%25C3%25A9rieure%2Fdp%2FB088T7BTPB%2Fref%3Dsr_1_153_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311657%26sr%3D8-153-spons%26psc%3D1&qualifier=1618311657&id=3130462482982887&widgetName=sp_btf
114,"Confiance en soi: tous les secrets pour augmenter l’estime de soi | Guide complet pour apprendre comment améliorer les relations avec vous-même, les autres et doc vivre plus heureux","15,80€","3,8",13,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0878175JQO650UTRP9M&url=%2FConfiance-soi-augmenter-apprendre-am%25C3%25A9liorer%2Fdp%2FB08M83WXZY%2Fref%3Dsr_1_145_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311659%26sr%3D8-145-spons%26psc%3D1&qualifier=1618311659&id=7352079034473838&widgetName=sp_atf_next
115,Mes Recettes - Livre de recettes à remplir: Carnet de cuisine pour écrire ses recettes | Cahier pré-rempli | Pour 100 recettes | Livre de Cuisine Personnalisable avec vos recettes de famille.,"19,90€","4,8",23,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A09573142POJ9PJ2M7JEV&url=%2FMes-Recettes-recettes-pr%25C3%25A9-rempli-Personnalisable%2Fdp%2FB08P4MP715%2Fref%3Dsr_1_146_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311659%26sr%3D8-146-spons%26psc%3D1&qualifier=1618311659&id=7352079034473838&widgetName=sp_atf_next
116,"Mon Cahier de recettes: Livre de recettes à remplir | Carnet personnalisé pour 100 recettes de cuisine à compléter | Grand Format 21,59 cm x 27,94 cm [ Idée cadeau à offrir","29,00€","4,2",1 053,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A08245343ESK1493N26G4&url=%2FMon-Cahier-recettes-personnalis%25C3%25A9-compl%25C3%25A9ter%2Fdp%2FB0892HNL79%2Fref%3Dsr_1_147_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311659%26sr%3D8-147-spons%26psc%3D1&qualifier=1618311659&id=7352079034473838&widgetName=sp_atf_next
117,Mes Recettes : Cahier de Recette à Compléter: 120 Pages A4 à remplir avec vos recettes préférées,"5,98€","4,2",66,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A042994615A4HPPHOWEV8&url=%2FMes-Recettes-Compl%25C3%25A9ter-recettes-pr%25C3%25A9f%25C3%25A9r%25C3%25A9es%2Fdp%2FB09249HBSC%2Fref%3Dsr_1_148_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311659%26sr%3D8-148-spons%26psc%3D1&qualifier=1618311659&id=7352079034473838&widgetName=sp_atf_next
118,"Cures de soupes, santé-détox","8,99€","5,0",1,https://www.amazon.fr//Cures-soupes-sant%C3%A9-d%C3%A9tox-anti-insomnie-antiballonnements/dp/B07C5K53HF/ref=sr_1_149?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-149
119,Mon guide alimentaire: Journal de suivi Nutritionnel sur 3 mois à compléter | Avec nos Conseils d’Experts en Nutrition,"4,99€","5,0",1,https://www.amazon.fr//Mon-guide-alimentaire-Nutritionnel-compl%C3%A9ter/dp/B08W3M9TMG/ref=sr_1_150?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-150
120,Les Recettes minceur de Sybille Montignac,"9,95€","4,2",445,https://www.amazon.fr//Recettes-minceur-Sybille-Montignac/dp/2359344307/ref=sr_1_151?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-151
121,25 recettes ventre plat: RECETTES MINCEUR FACILES ET GOURMANDES,"7,99€","4,2",90,https://www.amazon.fr//25-recettes-ventre-plat-GOURMANDES-ebook/dp/B0924WWMXM/ref=sr_1_152?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-152
122,Les recettes cultes de Big Will,"7,87€","3,5",5,https://www.amazon.fr//recettes-cultes-Big-Will/dp/2263161279/ref=sr_1_153?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-153
123,Minceur essentielle: La grande cuisine santé,"9,90€","3,0",1,https://www.amazon.fr//Minceur-essentielle-grande-cuisine-sant%C3%A9/dp/2226241523/ref=sr_1_154?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-154
124,Slimy: Agenda Minceur et Forme: 90 Jours régime alimentaire | Votre compagnon pour un meilleur corps | Cahier à compléter | Français (Bleu),"7,99€","4,8",9,https://www.amazon.fr//Slimy-alimentaire-compagnon-meilleur-compl%C3%A9ter/dp/B088N96C96/ref=sr_1_155?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-155
125,LA PENSÉE POSITIVE: Comment atteindre vos objectifs et mener une vie positive à travers le pouvoir de la pensée,"9,99€","3,8",18,https://www.amazon.fr//PENS%C3%89E-POSITIVE-atteindre-objectifs-positive/dp/B085RTHNJW/ref=sr_1_156?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-156
126,"Mon cahier minceur : 90 jours de régime - Le compagnon ultime du régime amincissant :: Agenda journal de bord à remplir pour perdre du poids, journal ... ... semainiers des menus, courbe de poids","5,90€","4,7",10,https://www.amazon.fr//Mon-cahier-minceur-amincissant-semainiers/dp/B088B9ZCNB/ref=sr_1_157?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-157
127,Cuisine légère NE - 1001 recettes,"6,99€","4,5",108,https://www.amazon.fr//Cuisine-l%C3%A9g%C3%A8re-NE-1001-recettes/dp/2263149252/ref=sr_1_158?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-158
128,Mon journal de suivi minceur: Cahier de suivi de régime quotidien - carnet alimentation exercices et motivation - suivi perte de poids et mensurations - pour femmes,"19,90€","4,5",290,https://www.amazon.fr//Mon-journal-suivi-minceur-alimentation/dp/B08BWFKDVM/ref=sr_1_159?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-159
129,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"7,90€","4,5",2,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Perdre-jusqu%C3%A0-quelques/dp/1975650492/ref=sr_1_160?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-160
130,Mon cahier Objectif minceur automne hiver,"6,99€","4,3",410,https://www.amazon.fr//cahier-Objectif-minceur-automne-hiver/dp/2263158898/ref=sr_1_161?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-161
131,"Agenda Minceur 90 jours: Carnet de suivi alimentaire et régime pour femme - Repas, activités, objectifs, courbes et tableaux - 190 Pages à compléter","15,29€","3,8",38,https://www.amazon.fr//Agenda-Minceur-jours-alimentaire-activit%C3%A9s/dp/B08BW8KZGW/ref=sr_1_162?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-162
132,La méthode simple illustrée pour perdre du poids tout de suite (EVOL DEV'T PERS),"9,50€","3,5",767,https://www.amazon.fr//m%C3%A9thode-simple-illustr%C3%A9e-perdre-poids-ebook/dp/B00NFQUD1M/ref=sr_1_163?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-163
133,Agenda Minceur 90 jours. Régime Alimentaire Journal à Compléter: Journal personnel qui vous aidera à perdre du poids,"4,99€","4,1",188,https://www.amazon.fr//Agenda-Minceur-Alimentaire-Journal-Compl%C3%A9ter/dp/1796738794/ref=sr_1_164?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-164
134,"Mon Carnet de recettes: Livre de recettes à écrire | Carnet personnalisé pour 50 recettes de cuisine à remplir | 2 pages par recette |Grand Format 21,59 cm x 27,94 cm [ Idée cadeau à offrir","7,95€","4,2",62,https://www.amazon.fr//Mon-Carnet-recettes-personnalis%C3%A9-cuisine/dp/B08992BD7F/ref=sr_1_165?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-165
135,Mincir sur mesure grâce à la chrono-nutrition,"9,97€","4,1",75,https://www.amazon.fr//Mincir-sur-mesure-gr%C3%A2ce-chrono-nutrition/dp/2226449655/ref=sr_1_166?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-166
136,Mon cahier Minceur zéro sucre,"22,50€","4,2",3,https://www.amazon.fr//Mon-cahier-Minceur-z%C3%A9ro-sucre/dp/2263169636/ref=sr_1_167?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-167
137,mes recettes minceur: Cahier de recettes de régime à remplir pour perte de poids - Livre de cuisine personnalisé à écrire plus de 50 recettes,"9,12€","4,3",8,https://www.amazon.fr//mes-recettes-minceur-remplir-personnalis%C3%A9/dp/B0882PKNTS/ref=sr_1_168?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-168
138,Minceur à livre ouvert: Minceur - Forme - Beauté,"24,00€","3,9",110,https://www.amazon.fr//Minceur-livre-ouvert-Forme-Beaut%C3%A9/dp/1523935685/ref=sr_1_169?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-169
139,Mon livre de recettes Poke Bowl | 100 recettes à remplir: Livre de cuisine à compléter,"13,99€","4,2",22,https://www.amazon.fr//livre-recettes-Poke-Bowl-remplir/dp/B08L41B4X6/ref=sr_1_170?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-170
140,Mon cahier Brûle-graisse,"5,99€","4,2",133,https://www.amazon.fr//Mon-cahier-Br%C3%BBle-graisse-Marie-Laure-ANDR%C3%89/dp/2263159495/ref=sr_1_171?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-171
141,Petit Livre de - Minceur 2018,"5,99€","4,3",14,https://www.amazon.fr//Petit-Livre-Minceur-Jean-Paul-BLANC/dp/2412034265/ref=sr_1_172?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-172
142,AGENDA Rééquilibrage Alimentaire: 90 jours de suivi avec bilans mensuels - Prises de mensurations - Recettes Healthy - Planificateurs de repas avec ... courses intégrée ! | Format poche | 128 pages,"14,95€","4,5",32,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A071746917X5PNAST6ZA7&url=%2FAGENDA-R%25C3%25A9%25C3%25A9quilibrage-Alimentaire-mensurations-Planificateurs%2Fdp%2FB08WJZD84F%2Fref%3Dsr_1_173_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311659%26sr%3D8-173-spons%26psc%3D1&qualifier=1618311659&id=7352079034473838&widgetName=sp_mtf
143,"Agenda minceur 90 jours: Journal alimentaire et d’activité sportive 90 jours régime alimentaire journal à compléter | Suivi Perte de poids | Suivi ... mon régime, carnet de suivi alimentaire","6,99€","3,7",30,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A09906872KQ4SEEAY8YXL&url=%2FAgenda-minceur-jours-alimentaire-dactivit%25C3%25A9%2Fdp%2FB08P8GR5RR%2Fref%3Dsr_1_174_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311659%26sr%3D8-174-spons%26psc%3D1&qualifier=1618311659&id=7352079034473838&widgetName=sp_mtf
144,Agenda minceur – Mon défi minceur en 90 jours: Programme minceur | retrouvez une belle silhouette grâce à l’équilibre alimentaire | journal à compléter,"10,00€","4,3",8,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0719561S27G5ESRQ1PE&url=%2FAgenda-minceur-silhouette-l%25C3%25A9quilibre-alimentaire%2Fdp%2FB08ZQ55J6K%2Fref%3Dsr_1_175_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311659%26sr%3D8-175-spons%26psc%3D1&qualifier=1618311659&id=7352079034473838&widgetName=sp_mtf
145,Le grand livre de la cuisine végétarienne Nouvelle édition: 175 recettes pour manger végétarien au quotidien,"6,99€","4,0",78,https://www.amazon.fr//Cuisine-Vegetarienne-Nouvelle-%C3%89dition/dp/2016279737/ref=sr_1_176?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-176
146,Cahier Minceur: Un Carnet Alimentaire et mon cahier Minceur - Le compagnon ultime de régime amincissant à compléter au jour le jour | Agenda minceur,"15,55€","4,8",30,https://www.amazon.fr//Cahier-Minceur-Alimentaire-compagnon-amincissant/dp/1072172585/ref=sr_1_177?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-177
147,L'aroma-drainage lymphatique - Minceur et détox - Méthode Ahimsa,"15,99€","4,6",27,https://www.amazon.fr//Laroma-drainage-lymphatique-Minceur-M%C3%A9thode-Ahimsa/dp/B01E4ELYAC/ref=sr_1_178?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-178
148,Huiles essentielles antivirales : La solution naturelle pour lutter contre les infections,"5,90€","4,2",1 242,https://www.amazon.fr//Huiles-essentielles-antivirales-naturelle-infections-ebook/dp/B014USGBXC/ref=sr_1_179?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-179
149,"livre agenda minceur: livre agenda minceur pour 90 jours suivi de regime reequilibrage alimentaire , acompleter la motivation,recette,et menu, ... et fitness pour perte de poids maigrir regime","6,95€","4,4",680,https://www.amazon.fr//livre-agenda-minceur-reequilibrage-alimentaire/dp/B08YNXJGL6/ref=sr_1_180?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-180
150,Agenda Minceur - 98 jours de suivi: Journal alimentaire et d’activité sportive - Cahier de suivi de régime : Planificateur semaine - Suivi journalier ... idéal de votre perte de poids (Fleurs),"7,90€","4,2",5,https://www.amazon.fr//Agenda-Minceur-alimentaire-Planificateur-journalier/dp/B08733MNZ7/ref=sr_1_181?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-181
151,Fastgood Cuisine - Healthy et gourmand,"4,99€","4,1",32,https://www.amazon.fr//Fastgood-Cuisine-gourmand-Charles-Gilles-compagnon/dp/2749940567/ref=sr_1_182?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-182
152,"Mon Agenda Minceur pour Diète Cétogène REGIME KETO: Carnet Regime Cetogene & Cahier Programme Cétogène pour Alimentation Cetogene, Ceto Cuisine pour ... Recettes vierge pour KETO Régime","14,99€","2,6",4,https://www.amazon.fr//Agenda-Minceur-Di%C3%A8te-C%C3%A9tog%C3%A8ne-REGIME/dp/B08F6X4MNJ/ref=sr_1_183?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-183
153,"100 aliments IG, index glycémique bas, à volonté","14,90€","4,2",7,https://www.amazon.fr//100-aliments-index-glyc%C3%A9mique-volont%C3%A9/dp/2916878777/ref=sr_1_184?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-184
154,Carnet minceur: Carnet adapté pour le suivi alimentaire et des activités sportives à compléter / 6x9 /,"6,00€","3,5",2,https://www.amazon.fr//Carnet-minceur-alimentaire-activit%C3%A9s-sportives/dp/B08XSCXB2J/ref=sr_1_185?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-185
155,Les recettes minceur de la coach des stars,"6,90€","4,4",700,https://www.amazon.fr//recettes-minceur-coach-stars/dp/0615137520/ref=sr_1_186?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-186
156,Junlan Gaine Amincissante Invisible Ventre Plat Ceinture Abdominale Gainante Femme Apres Accouchement,"20,00€","4,5",110,https://www.amazon.fr//Junlan-Amincissante-Invisible-Abdominale-Accouchement/dp/B0817GS2D7/ref=sr_1_187?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-187
157,200 menus équilibrés à moins de 2 euros,"6,75€","4,0",6,https://www.amazon.fr//200-menus-%C3%A9quilibr%C3%A9s-moins-euros/dp/2263050035/ref=sr_1_188?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-188
158,Ma cuisine IG bas - super facile,"14,00€","3,4",5,https://www.amazon.fr//Ma-cuisine-IG-bas-facile/dp/2263169490/ref=sr_1_189?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-189
159,Mon cahier Minceur healthy,"6,75€","3,8",3,https://www.amazon.fr//cahier-Minceur-healthy-Marie-Laure-ANDR%C3%89/dp/2263169687/ref=sr_1_190?dchild=1&keywords=livre+minceur&qid=1618311659&sr=8-190
